LULC_desc,lucode,usle_c,usle_p
WaterBody,1,0.000,1
ArtificialSurface,2,0.100,1
Mangrove,3,0.060,1
BroadleafForest,4,0.001,1
DeciduousBroadleafForest,5,0.001,1
BroadleafForest,6,0.001,1
BroadleafForest,7,0.001,1
BroadleafForest,8,0.001,1
MixedForest,9,0.001,1
MixedForest,10,0.001,1
MixedForest,11,0.001,1
BroadleafForest,12,0.001,1
InlandForestedWetland,13,0.060,1
BroadleafForest,14,0.001,1
InlandMarsh,15,0.060,1
BeachDuneAndSand,16,0.350,1
MarineWaterBody,17,0.000,1
MarineWaterBody,18,0.000,1
MarineWaterBody,19,0.000,1
MarineWaterBody,20,0.000,1
StillWaterBody,21,0.000,1
Estuary,22,0.000,1
SparseVegetation,23,0.010,1
CoastalLagoon,24,0.000,1
MoorAndHeathland,25,0.080,1
TransitionalWoodlandScrub,26,0.010,1
TransitionalWoodlandScrub,27,0.010,1
Watercourse,28,0.000,1
AgriculturalVegetation,29,0.500,0.5
SparseVegetation,30,0.010,1
